Job_Title,Date,Company,Apply,Remote,Account,Refill,Status,Reason
Full Stack Engineer,3/18/2023,Meow,Yes,Yes,No,No,APPLIED,
Full Stack Engineer,3/18/2023,Finesse,Yes,No,No,No,APPLIED,
Full Stack Engineer,3/18/2023,8Flow,Yes,No,No,No,APPLIED,
Founding Engineer (Full Stack),3/18/2023,Moio,Yes,No,No,No,REJECTED,NO REASON
Software Engineer,3/18/2023,StartPlaying,Yes,No,No,No,APPLIED,
Founding Software Engineer,3/18/2023,Cheer$,Yes,No,No,No,APPLIED,
